date,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,year,month,day_of_week,day_of_year,week_of_year,quarter
2022-03-16,Avalanche,AVAX,73.69,0.9236545682102628,0.5543744889615698,0.1101432442895857,0.0149622741465159,0.0251257207278151,2022,3,2,75,11,1
2022-03-16,Binance USD,BUSD,1.0,0.8785982478097623,0.5298446443172525,0.10840108401084,0.069724558144343,0.0230787838993845,2022,3,2,75,11,1
2022-03-16,Dogecoin,DOGE,0.11566,0.8998748435544431,0.5470155355682746,0.1058846302748741,0.0077990839418498,0.0196472441251775,2022,3,2,75,11,1
2022-03-16,TerraUSD,UST,1.0,0.8798498122653317,0.5306623058053965,0.108207510646535,0.0128110718763575,0.0192776651251608,2022,3,2,75,11,1
2022-03-16,Shiba Inu,SHIB,2.241815e-05,0.9111389236545684,0.5511038430089941,0.1039488966318234,0.0094303126368094,0.015618750328558,2022,3,2,75,11,1
2022-03-16,Wrapped Bitcoin,WBTC,40820.44,0.9061326658322904,0.552739165985282,0.1186604723190088,0.0076472912656802,0.0141903365746844,2022,3,2,75,11,1
2022-03-16,Cronos,CRO,0.401575,0.9036295369211514,0.5633687653311529,0.1153697251258226,0.0017128425298391,0.0129415607010737,2022,3,2,75,11,1
2022-03-16,Polygon,MATIC,1.44,0.9173967459324156,0.5560098119378577,0.1080139372822299,0.0114863096088918,0.0126224562002482,2022,3,2,75,11,1
2022-03-16,Dai,DAI,0.999429,0.8811013767209012,0.5273916598528209,0.1080139372822299,0.0053700294650456,0.0119966520276387,2022,3,2,75,11,1
2022-03-16,Cosmos Hub,ATOM,28.8,0.902377972465582,0.5699100572363041,0.1147890050329074,0.0135462736668925,0.0106703147539146,2022,3,2,75,11,1
2022-03-16,Litecoin,LTC,109.44,0.9011264080100124,0.5388389206868356,0.1252419667053813,0.0126990396598326,0.0097472949641579,2022,3,2,75,11,1
2022-03-16,Lido Staked Ether,STETH,2745.31,0.9136420525657072,0.5568274734260016,0.1209833526906697,0.0003508594778566,0.0088999295774002,2022,3,2,75,11,1
2022-03-16,Near,NEAR,10.61,0.9324155193992488,0.5543744889615698,0.1256291134339914,0.0069465885528498,0.0087887846008018,2022,3,2,75,11,1
2022-03-16,Chainlink,LINK,14.41,0.9098873591989988,0.5805396565821749,0.1277584204413472,0.0124436883196025,0.0085451330459512,2022,3,2,75,11,1
2022-03-16,TRON,TRX,0.060751875857,0.8948685857321652,0.5322976287816843,0.1085946573751451,0.0104997948163485,0.0078264863742675,2022,3,2,75,11,1
2022-03-16,FTX Token,FTT,42.37,0.9061326658322904,0.5478331970564185,0.1167247386759581,0.0015723325558166,0.0073935068644175,2022,3,2,75,11,1
2022-03-16,OKB,OKB,19.05,0.8973717146433041,0.5600981193785772,0.121951219512195,0.0031138058908814,0.0062873546966561,2022,3,2,75,11,1
2022-03-16,Bitcoin Cash,BCH,295.57,0.9036295369211514,0.5404742436631234,0.1155632984901277,0.0237944021885613,0.0071485527363587,2022,3,2,75,11,1
2022-03-16,Algorand,ALGO,0.731009,0.9123904881101376,0.5396565821749794,0.1060782036391792,0.0026162464814393,0.0061327048094253,2022,3,2,75,11,1
2022-03-16,cDAI,CDAI,0.021895790224,0.8798498122653317,0.5282093213409648,0.1080139372822299,1.6206101685359151e-09,0.0024180722071196,2022,3,2,75,11,1
2022-03-16,Uniswap,UNI,9.05,0.921151439299124,0.5609157808667211,0.1128532713898567,0.0032534753707986,0.0052028290299182,2022,3,2,75,11,1
2022-03-16,Hedera,HBAR,0.200008,0.8961201501877347,0.5224856909239575,0.1033681765389082,0.0011315977904962,0.0049704788632178,2022,3,2,75,11,1
2022-03-16,Axie Infinity,AXS,50.46,0.9261576971214018,0.5789043336058871,0.1252419667053813,0.0049882907267267,0.0047266117845443,2022,3,2,75,11,1
2022-03-16,Decentraland,MANA,2.43,0.90738423028786,0.5813573180703189,0.1107239643825009,0.0083074666245238,0.0046220666636589,2022,3,2,75,11,1
2022-03-16,Ethereum Classic,ETC,26.93,0.916145181476846,0.5535568274734259,0.1099496709252806,0.0054478000770229,0.0045196579668525,2022,3,2,75,11,1
2022-03-16,Elrond,EGLD,162.55,0.9123904881101376,0.5682747342600163,0.1523422377080913,0.0055029626334359,0.0044905475873188,2022,3,2,75,11,1
2022-03-16,The Sandbox,SAND,3.08,0.8923654568210263,0.6312346688470972,0.1258226867982965,0.0170731089661128,0.0044080622045029,2022,3,2,75,11,1
2022-03-16,Internet Computer,ICP,16.26,0.9061326658322904,0.543744889615699,0.1012388695315524,0.0027283260268926,0.0043580891024159,2022,3,2,75,11,1
2022-03-16,Monero,XMR,189.34,0.8848560700876096,0.5372035977105477,0.0938830816879597,0.0043427468592519,0.0043179062604154,2022,3,2,75,11,1
2022-03-16,cETH,CETH,53.71,0.8798498122653317,0.5355682747342599,0.1157568718544328,1.8788997687273245e-08,0.0040273124612799,2022,3,2,75,11,1
2022-03-16,VeChain,VET,0.047848054559,0.916145181476846,0.5551921504497137,0.1134339914827719,0.0048933969503497,0.0040036913510565,2022,3,2,75,11,1
2022-03-16,Fantom,FTM,1.22,0.934918648310388,0.5461978740801308,0.0927216415021292,0.0202485894044555,0.0038751463073416,2022,3,2,75,11,1
2022-03-16,Filecoin,FIL,17.27,0.9011264080100124,0.5363859362224038,0.100077429345722,0.004563756746786,0.0038485920169718,2022,3,2,75,11,1
2022-03-16,Klaytn,KLAY,1.1,0.9011264080100124,0.5470155355682746,0.105691056910569,0.0009861584447221,0.0038257122203501,2022,3,2,75,11,1
2022-03-16,renBTC,RENBTC,40555.22,0.9011264080100124,0.5560098119378577,0.1173054587688733,0.0002559613862966,0.0006917582407169,2022,3,2,75,11,1
2022-03-16,Frax,FRAX,0.998392,0.8785982478097623,0.5290269828291086,0.1080139372822299,0.0003140451145459,0.0036097367663301,2022,3,2,75,11,1
2022-03-16,Waves,WAVES,28.62,0.8986232790988735,0.5944399018806213,0.1608594657375144,0.0260307099153817,0.0036035739813683,2022,3,2,75,11,1
2022-03-16,Theta Network,THETA,2.82,0.921151439299124,0.5551921504497137,0.1072396438250096,0.002051187700507,0.0035217744116995,2022,3,2,75,11,1
2022-03-16,Magic Internet Money,MIM,0.997676,0.8811013767209012,0.5314799672935404,0.10840108401084,0.0007705441413228,0.0035031703485016,2022,3,2,75,11,1
2022-03-16,The Graph,GRT,0.440816,0.8848560700876096,0.5617334423548649,0.1689895470383275,0.0067084347189941,0.003435284761741,2022,3,2,75,11,1
2022-03-16,Tezos,XTZ,3.05,0.90738423028786,0.5486508585445625,0.1105303910181958,0.0019821898212696,0.0033506161875077,2022,3,2,75,11,1
2022-03-16,cUSDC,CUSDC,0.022533007284,0.8798498122653317,0.5290269828291086,0.108207510646535,7.220164378512868e-10,0.0030713068644055,2022,3,2,75,11,1
2022-03-16,Helium,HNT,21.72,0.8785982478097623,0.5674570727718724,0.1130468447541618,0.0003869117107874,0.0027294735247411,2022,3,2,75,11,1
2022-03-16,THORChain,RUNE,7.23,0.9311639549436797,0.4799672935404742,0.25687185443283,0.0051408690941761,0.0027053363926333,2022,3,2,75,11,1
2022-03-16,EOS,EOS,2.06,0.904881101376721,0.5543744889615698,0.1173054587688733,0.0058311667268001,0.0025172635540811,2022,3,2,75,11,1
2022-03-16,ECOMI,OMI,0.003406821495,0.904881101376721,0.5502861815208503,0.0656213704994192,5.94468082898706e-05,0.002462866510746,2022,3,2,75,11,1
2022-03-16,IOTA,MIOTA,0.712336,0.9036295369211514,0.5372035977105477,0.1103368176538907,0.0004651804157206,0.0024623709215443,2022,3,2,75,11,1
2022-03-16,Stellar,XLM,0.186969,0.902377972465582,0.5494685200327064,0.1233062330623306,0.0044447908077373,0.0058227927941645,2022,3,2,75,11,1
2022-03-16,Flow,FLOW,5.43,0.902377972465582,0.5470155355682746,0.0977545489740611,0.0009917575674138,0.0023940023613718,2022,3,2,75,11,1
2022-03-16,Theta Fuel,TFUEL,0.162482,0.9111389236545684,0.5339329517579721,0.1204026325977545,0.0002779911210204,0.0023458517834419,2022,3,2,75,11,1
2022-03-16,Aave,AAVE,137.44,0.9274092615769712,0.6353229762878168,0.1329849012775841,0.0048733318667134,0.0023148200487621,2022,3,2,75,11,1
2022-03-16,JUNO,JUNO,38.35,0.9036295369211514,0.6067048242027799,0.1022067363530778,0.0001983487379569,0.0021672706566278,2022,3,2,75,11,1
2022-03-16,Gala,GALA,0.227781,0.9136420525657072,0.5666394112837285,0.1151761517615175,0.0095238345129116,0.0021250541686429,2022,3,2,75,11,1
2022-03-16,BitTorrent,BTT,1.812224e-06,0.8898623279098873,0.5461978740801308,0.1085946573751451,0.0015161172328107,0.0020748543805296,2022,3,2,75,11,1
2022-03-16,Arweave,AR,32.52,0.8773466833541927,0.588716271463614,0.10840108401084,0.0008740203508644,0.0020256491341711,2022,3,2,75,11,1
2022-03-16,Huobi BTC,HBTC,41217.27,0.9136420525657072,0.5600981193785772,0.1211769260549748,3.279573684547459e-06,0.0020255012381978,2022,3,2,75,11,1
2022-03-16,PancakeSwap,CAKE,5.57,0.9136420525657072,0.5363859362224038,0.094850948509485,0.0017970612163722,0.0018877628468177,2022,3,2,75,11,1
2022-03-16,Quant,QNT,112.58,0.9036295369211514,0.5306623058053965,0.1105303910181958,0.0004095465032261,0.0018550818160475,2022,3,2,75,11,1
