date,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,year,month,day_of_week,day_of_year,week_of_year,quarter
2022-03-16,Bitcoin,BTC,40859.46,0.9086357947434294,0.552739165985282,0.11866047231900888,0.6108704964347693,0.9934460122575236,2022,3,2,75,11,1
2022-03-16,Iron Bank EURO,IBEUR,1.08,0.8811013767209012,0.5249386753883891,0.10975609756097558,1.6442245765833536e-06,8.282580038042087e-05,2022,3,2,75,11,1
2022-03-16,Prometeus,PROM,7.96,0.902377972465582,0.5347506132461161,0.11091753774680602,1.8457936839126278e-05,8.302741461856306e-05,2022,3,2,75,11,1
2022-03-16,MaidSafeCoin,MAID,0.29492,0.9098873591989988,0.5363859362224038,0.11672473867595816,5.250231506911347e-08,8.634598845771275e-05,2022,3,2,75,11,1
2022-03-16,Bezoge Earth,BEZOGE,3.051e-09,0.8961201501877347,0.5241210139002452,0.10007742934572203,3.269217245085093e-06,8.652340976046213e-05,2022,3,2,75,11,1
2022-03-16,flexUSD,FLEXUSD,1.01,0.8823529411764707,0.5282093213409648,0.10878823073945022,3.095004672595659e-06,8.657550433839917e-05,2022,3,2,75,11,1
2022-03-16,Hxro,HXRO,0.305377,0.8911138923654569,0.5396565821749794,0.0960123886953155,2.3045839520954443e-06,8.778759437029073e-05,2022,3,2,75,11,1
2022-03-16,Polkastarter,POLS,1.54,0.918648310387985,0.5183973834832378,0.16802168021680214,0.0034544337761535458,8.929063492662693e-05,2022,3,2,75,11,1
2022-03-16,Keep3rV1,KP3R,360.63,0.8898623279098873,0.5461978740801308,0.10917537746806037,0.000383500489496602,8.977576809986624e-05,2022,3,2,75,11,1
2022-03-16,Magic,MAGIC,2.78,0.9674593241551941,0.7596075224856909,0.10878823073945022,0.00012825078045911598,9.142603840236728e-05,2022,3,2,75,11,1
2022-03-16,STASIS EURO,EURS,1.1,0.8886107634543179,0.5347506132461161,0.11072396438250093,8.015452625560396e-05,9.173754531891727e-05,2022,3,2,75,11,1
2022-03-16,Ark,ARK,0.834377,0.8898623279098873,0.5421095666394112,0.10259388308168796,4.746017895246593e-05,9.246234885941458e-05,2022,3,2,75,11,1
2022-03-16,Beta Finance,BETA,0.387492,0.904881101376721,0.5380212591986917,0.09407665505226478,0.0003211342009222904,9.430081478728242e-05,2022,3,2,75,11,1
2022-03-16,Orchid Protocol,OXT,0.237795,0.9073842302878599,0.5282093213409648,0.12078977932636467,0.000208975342403461,9.534681453170685e-05,2022,3,2,75,11,1
2022-03-16,Acala,ACA,1.1,0.9249061326658323,0.5461978740801308,0.11149825783972123,0.000229137880135163,9.64089983112649e-05,2022,3,2,75,11,1
2022-03-16,Pundi X [OLD],NPXS,0.000600991914,0.8811013767209012,0.5159443990188062,0.08323654665118077,0.0,9.84208752928706e-05,2022,3,2,75,11,1
2022-03-16,StarLink,STARL,1.4396811e-05,0.937421777221527,0.5461978740801308,0.10723964382500965,0.00023936969710933192,0.00010063862804651346,2022,3,2,75,11,1
2022-03-16,GPEX,GPX,3.83,0.8886107634543179,0.5298446443172525,0.09407665505226478,3.0970414390232576e-06,0.00010164485519277217,2022,3,2,75,11,1
2022-03-16,Akash Network,AKT,1.09,0.9011264080100125,0.5273916598528209,0.1116918312040263,3.0307515960978962e-05,0.00010223333990560737,2022,3,2,75,11,1
2022-03-16,aelf,ELF,0.318783,0.9036295369211514,0.5412919051512673,0.10569105691056908,0.0002230574419194835,0.00010327706004511491,2022,3,2,75,11,1
2022-03-16,Merit Circle,MC,2.09,0.9123904881101377,0.5838103025347505,0.11498257839721251,0.0004469163341674946,0.0001037956514784234,2022,3,2,75,11,1
2022-03-16,OriginTrail,TRAC,0.400529,0.9011264080100125,0.5355682747342599,0.09988385598141693,4.1100410303753995e-05,0.0001038297295745384,2022,3,2,75,11,1
2022-03-16,USDX,USDX,0.969027,0.8911138923654569,0.5404742436631234,0.10820751064653501,1.5129653367640824e-05,0.00010440274802495832,2022,3,2,75,11,1
2022-03-16,VeThor Token,VTHO,0.003245192677,0.9073842302878599,0.5249386753883891,0.12001548586914437,9.150376852629731e-05,0.00010478667782219496,2022,3,2,75,11,1
2022-03-16,Storj,STORJ,1.04,0.9098873591989988,0.5625511038430089,0.12853271389856752,0.0005071969911806777,0.00010596357637264188,2022,3,2,75,11,1
2022-03-16,Tokamak Network,TON,3.57,0.8936170212765958,0.5486508585445625,0.10336817653890822,3.82518198474329e-05,0.00010725816387608517,2022,3,2,75,11,1
2022-03-16,Band Protocol,BAND,3.62,0.9148936170212766,0.5690923957481602,0.11633759194734802,0.0004454445287733005,0.00010825579321340913,2022,3,2,75,11,1
2022-03-16,Kishu Inu,KISHU,1.544e-09,0.9386733416770964,0.6050695012264922,0.13646922183507545,0.00012263591597946717,0.00010831422017040869,2022,3,2,75,11,1
2022-03-16,Metadium,META,0.076908861633,0.8898623279098873,0.49877350776778406,0.11691831204026323,0.0005666449904610865,8.261164122771336e-05,2022,3,2,75,11,1
2022-03-16,Verge,XVG,0.009127060437,0.9111389236545683,0.5502861815208503,0.09891598915989157,7.902891937190427e-05,0.00010842388604810117,2022,3,2,75,11,1
2022-03-16,Sperax,SPA,0.166557,0.8911138923654569,0.5143090760425183,0.10394889663182344,8.010257145096775e-06,8.245023385956111e-05,2022,3,2,75,11,1
2022-03-16,DUSK Network,DUSK,0.325281,0.9073842302878599,0.490596892886345,0.10065814943863721,0.0004799435546956856,8.202234724868945e-05,2022,3,2,75,11,1
